"doc_id","screen_name","text"
"1420972555893186561","detikHealth","Menkes menyebut tengah dalam tahap finalisasi dengan WHO soal kemungkinan pengembangan vaksin COVID-19 teknologi baru di Indonesia. https://t.co/B4qVBmb17P"
"1420976562900541440","detikHealth","Peneliti AstraZeneca asal RI, Indra Rudiansyah, angkat bicara soal booster vaksin COVID-19. Antibodi disebut menurun setelah 6 bulan, benarkah perlu booster? https://t.co/qRKW78zYNO"
"1420998780053344259","detikHealth","Peneliti vaksin AstraZeneca, Indra Rudiansyah, menyebut penurunan level antibodi setelah dosis lengkap vaksin COVID-19 adalah normal. Jadi, perlukah booster? https://t.co/TYUIXgo6GY"
"1421003168364863489","detikHealth","Vaksinasi COVID-19 menyasar ratusan warga binaan dan petugas di LP kelas II B Klaten. Vaksinasi dilakukan guna cegah penyebaran virus Corona. https://t.co/lOzaislbyA"
"1421005842023813121","antaranews","Pemerintah tengah menggencarkan pengetesan dan pelacakan kontak kasus positif COVID-19. Apa saja strategi yang digunakan untuk meningkatkan pelacakan? Simak selengkapnya di sini. #Infografik 
https://t.co/TPRuQSFx2p"
"1420975788703186945","antaranews","Brazil membatalkan kontrak 10 juta dosis vaksin COVID-19 Sputnik V buatan Rusia.
https://t.co/V85KHWIsL0"
"1421000147262087170","antaranews","India melaporkan 44.230 kasus baru COVID-19 dalam 24 jam terakhir, dengan jumlah kasus mencapai 31,57 juta.

#COVID19 #India #Covid19IndiaHelp
https://t.co/C7U2lnzJMc"
"1421023906131890178","antaranews","Semangat gotong royong antarwarga akan membantu meringankan beban warga yang terkonfirmasi positif COVID-19, terutama dari klaster keluarga. 
https://t.co/3sArikKBlk"
"1421012093621264384","antaranews","""Tentu sebagai hal yang penting juga janganlah saat rakyat Indonesia sedang mengalami kondisi susah saat ini, penimbun-penimbun obat tidak punya akhlak. Saya harapkan mereka juga harus mau menjadi bagian kesatuan,"" kata Erick Thohir. 
https://t.co/ZQmb6Pi4Kf"
"1421007979558670340","BimataIndonesia","Akhir Agustus, Hyundai Produksi Oksigen Kebutuhan Pasien COVID-19 di Indonesia https://t.co/OfLYfoq8DU"
